sut,workload,table_size,threads,rep,tps,qps,p95_ms,cpu_sec,mem_peak_mb,datadir_bytes
mysql,oltp_point_select,1000,1,1,6921.40,6921.40,0.52,10.416,497.9,286574824
mysql,oltp_point_select,1000,1,2,11506.97,11506.97,0.28,10.503,497.9,286653052
mysql,oltp_point_select,1000,1,3,9124.57,9124.57,0.37,10.390,497.9,286730788
mysql,oltp_point_select,1000,1,4,10462.14,10462.14,0.31,10.497,497.9,286808032
mysql,oltp_point_select,1000,1,5,11708.33,11708.33,0.27,10.546,497.9,286885276
mysql,oltp_point_select,1000,8,1,27876.01,27876.01,0.46,60.141,497.9,287008276
mysql,oltp_point_select,1000,8,2,29255.42,29255.42,0.43,60.175,497.9,287087980
mysql,oltp_point_select,1000,8,3,27459.89,27459.89,0.46,60.162,497.9,287167684
mysql,oltp_point_select,1000,8,4,30209.62,30209.62,0.40,60.264,497.9,287247388
mysql,oltp_point_select,1000,8,5,30923.29,30923.29,0.40,60.153,497.9,287327092
mysql,oltp_point_select,1000,32,1,27927.63,27927.63,0.99,60.750,498.6,287471740
mysql,oltp_point_select,1000,32,2,27277.05,27277.05,1.08,60.578,500.0,287561776
mysql,oltp_point_select,1000,32,3,29203.17,29203.17,0.99,60.613,500.0,287651812
mysql,oltp_point_select,1000,32,4,28464.94,28464.94,0.97,60.543,501.0,287742340
mysql,oltp_point_select,1000,32,5,28818.34,28818.34,0.97,60.688,501.0,287832868
mysql,oltp_point_select,100000,1,1,16698.86,16698.86,0.12,10.914,844.4,431518586
mysql,oltp_point_select,100000,1,2,13501.61,13501.61,0.20,10.821,844.5,431595830
mysql,oltp_point_select,100000,1,3,13958.47,13958.47,0.19,10.771,844.8,431673074
mysql,oltp_point_select,100000,1,4,13896.53,13896.53,0.18,10.734,844.8,431749826
mysql,oltp_point_select,100000,1,5,14791.19,14791.19,0.17,10.812,844.8,431827070
mysql,oltp_point_select,100000,8,1,30413.19,30413.19,0.40,60.276,845.5,431949086
